Dates,CLOSE_SPY,OPEN,HIGH,LOW,VOLUME,CLOSE_GLD,CLOSE_FXY,CLOSE_T10Y2Y,CLOSE_TED,CLOSE_USO,CLOSE_UUP,CLOSE_VIX,CLOSE_VWO
2007-02-20,146.04,145.56,146.2,144.0,56909500.0,65.31,83.51,2.3263,0.31,48.67,25.07,10.24,40.055
2007-02-21,145.98,145.61,146.07,145.0,63971500.0,67.28,82.9,2.3653,0.32,49.86,25.12,10.2,39.975
2007-02-22,145.87,146.05,146.42,145.0,79067398.0,67.15,82.46,2.3871,0.31,50.33,25.12,10.18,40.22
2007-02-23,145.3,145.74,145.79,145.0,71962797.0,67.72,82.78,2.3809,0.31,50.46,25.04,10.58,40.035
2007-02-26,145.17,145.83,145.95,145.0,69320062.0,68.1,83.08,2.3795,0.31,50.9,25.04,11.15,39.96
2007-02-27,139.5,143.88,144.2,139.0,271580281.0,65.41,84.8,2.3463,0.37,49.95,24.9,18.31,37.045
2007-02-28,140.93,140.39,141.98,140.0,177535297.0,66.48,84.62,2.3784,0.34,51.18,24.9401,15.42,37.78
2007-03-02,138.67,140.05,140.66,139.0,162572406.0,63.71,85.85,2.3624,0.37,51.01,24.96,18.61,36.6
2007-03-05,137.35,137.93,139.58,137.0,143583406.0,62.93,86.45,2.343,0.36,49.62,25.12,19.63,35.55
2007-03-06,139.7,138.78,140.12,138.0,143328406.0,64.15,85.81,2.35,0.35,50.32,25.1,15.96,37.25
2007-03-07,139.56,139.59,140.46,139.0,115138703.0,64.3,86.32,2.3299,0.37,51.29,25.0,15.24,36.875
2007-03-08,140.74,140.54,141.16,140.0,117866703.0,64.48,85.52,2.3344,0.39,51.29,25.12,14.29,37.615
2007-03-09,140.78,141.31,141.42,140.0,107764508.0,64.25,84.62,2.351,0.38,50.11,25.16,14.09,37.745
2007-03-12,140.99,140.42,141.34,140.0,80366797.0,64.37,85.01,2.3315,0.4,49.35,25.08,13.99,38.12
2007-03-13,138.25,140.18,140.77,138.0,171831016.0,63.72,85.99,2.3514,0.41,48.94,25.02,18.13,36.555
2007-03-14,139.28,138.43,139.36,137.0,229353297.0,63.94,85.5,2.3666,0.43,49.14,24.96,17.27,37.235
2007-03-16,138.53,139.31,139.63,138.0,120626602.0,64.62,85.6,2.3905,0.45,48.42,24.87,16.79,37.305
2007-03-19,140.2,139.26,140.33,139.0,96047953.0,64.74,85.15,2.3944,0.42,48.7,25.0,14.59,38.02
2007-03-20,140.97,140.08,141.05,140.0,82148844.0,65.27,85.33,2.3947,0.43,48.46,24.85,13.27,38.385
2007-03-21,143.29,141.1,143.65,141.0,152473203.0,65.82,85.1299,2.4143,0.44,48.8,24.78,12.19,39.485
2007-03-22,143.18,143.48,143.68,143.0,118942398.0,65.76,84.76,2.4248,0.43,50.18,24.776,12.93,39.29
2007-03-23,143.39,143.28,143.81,143.0,74417672.0,65.15,84.64,2.4298,0.41,50.57,24.93,12.95,39.37
2007-03-26,143.2,143.5,143.65,142.0,113784000.0,65.84,84.72,2.4533,0.42,51.17,24.85,13.16,39.35
2007-03-27,142.86,143.12,143.16,142.0,99648594.0,65.7,84.83,2.4512,0.42,51.2,24.84,13.48,39.135
2007-03-28,141.82,142.14,142.47,141.0,152892703.0,66.05,85.57,2.461,0.43,52.0,24.84,14.98,38.79
2007-03-29,141.97,142.54,142.61,141.0,139412500.0,65.65,84.78,2.4653,0.44,53.62,24.87,15.14,39.54
2007-03-30,142.0,142.24,142.84,141.0,128194203.0,65.74,84.92,2.4427,0.45,53.35,24.79,14.64,39.435
2007-04-02,142.16,142.16,142.46,141.0,79413078.0,65.85,84.91,2.4387,0.44,53.56,24.8455,14.53,39.78
2007-04-03,143.69,142.97,143.98,143.0,82418211.0,65.83,84.13,2.4148,0.44,52.46,24.88,13.46,40.375
2007-04-04,143.85,143.69,143.95,143.0,63995219.0,66.81,84.31,2.4397,0.43,52.33,24.85,13.24,40.51
